上海健康医学院,人民音乐,-99,南核,
上海健康医学院,书法研究,-99,南核,
上海健康医学院,星海音乐学院学报,-99,南核,
上海健康医学院,艺术传播研究,-99,南核,
上海健康医学院,艺术探索,-99,南核,
上海健康医学院,世界电影,-99,南核,
上海健康医学院,音乐艺术(上海音乐学院学报),-99,南核,
上海健康医学院,中国电视,-99,南核,
上海健康医学院,中国广播电视学刊,-99,南核,
上海健康医学院,北京航空航天大学学报(社会科学版),-99,南核,
上海健康医学院,北京交通大学学报(社会科学版),-99,南核,
上海健康医学院,艺术百家,-99,南核,
上海健康医学院,北京理工大学学报(社会科学版),1,南核,
上海健康医学院,湖南农业大学学报(社会科学版),-99,南核,
上海健康医学院,华东理工大学学报(社会科学版),-99,南核,
上海健康医学院,南京工业大学学报(社会科学版),-99,南核,
上海健康医学院,安徽师范大学学报(人文社会科学版),-99,南核,
上海健康医学院,中国人民公安大学学报(社会科学版),-99,南核,
上海健康医学院,广州大学学报(社会科学版),-99,南核,
上海健康医学院,贵州师范大学学报(社会科学版),-99,南核,
上海健康医学院,华侨大学学报(哲学社会科学版),-99,南核,
上海健康医学院,河北大学学报(哲学社会科学版),-99,南核,
上海健康医学院,哈尔滨工业大学学报(社会科学版),-99,南核,
上海健康医学院,江苏大学学报(社会科学版),-99,南核,
上海健康医学院,齐鲁学刊,-99,南核,
上海健康医学院,烟台大学学报(哲学社会科学版),-99,南核,
上海健康医学院,中国矿业大学学报(社会科学版),-99,南核,
上海健康医学院,云南大学学报(社会科学版),-99,南核,
上海海洋大学,佛学研究,-99,南核,
上海海洋大学,五台山研究,-99,南核,
上海海洋大学,科学与无神论,-99,南核,
上海海洋大学,中国穆斯林,-99,南核,
上海海洋大学,孔学堂,-99,南核,
上海海洋大学,中国宗教,-99,南核,
上海海洋大学,系统科学学报,-99,南核,
上海海洋大学,世界社会主义研究,-99,南核,
上海海洋大学,社会主义核心价值观研究,1,南核,
上海海洋大学,苏区研究,-99,南核,
上海海洋大学,财政科学,-99,南核,
上海海洋大学,学校党建与思想教育,2,南核,
上海海洋大学,产业经济评论,-99,南核,
上海海洋大学,产经评论,-99,南核,
上海海洋大学,当代经济研究,-99,南核,
上海海洋大学,国际商务研究,-99,南核,
上海海洋大学,国际税收,-99,南核,
上海海洋大学,地方财政研究,1,南核,
上海海洋大学,哈尔滨商业大学学报(社会科学版),-99,南核,
上海海洋大学,河北经贸大学学报,-99,南核,
上海海洋大学,金融监管研究,-99,南核,
上海海洋大学,技术经济,2,南核,
上海海洋大学,经济与管理,2,南核,
上海海洋大学,经济与管理评论,-99,南核,
上海海洋大学,南方金融,1,南核,
上海海洋大学,南京审计大学学报,-99,南核,
上海海洋大学,农林经济管理学报,1,南核,
上海海洋大学,南京财经大学学报,1,南核,
上海海洋大学,农业经济与管理,2,南核,
上海海洋大学,税务与经济,-99,南核,
上海海洋大学,首都经济贸易大学学报,-99,南核,
上海海洋大学,上海金融,3,南核,
上海海洋大学,投资研究,-99,南核,
上海海洋大学,世界农业,26,南核,
上海海洋大学,西部论坛,1,南核,
上海海洋大学,消费经济,2,南核,
上海海洋大学,残疾人研究,-99,南核,
上海海洋大学,中国流通经济,4,南核,
上海海洋大学,云南财经大学学报,6,南核,
上海海洋大学,当代青年研究,3,南核,
上海海洋大学,西安财经大学学报,-99,南核,
上海海洋大学,青年探索,1,南核,
上海海洋大学,南方人口,1,南核,
上海海洋大学,社会建设,-99,南核,
上海海洋大学,社会政策研究,-99,南核,
上海海洋大学,西北人口,-99,南核,
上海海洋大学,中国青年社会科学,-99,南核,
上海海洋大学,阿拉伯世界研究,-99,南核,
上海海洋大学,当代美国评论,-99,南核,
上海海洋大学,俄罗斯研究,-99,南核,
上海海洋大学,俄罗斯东欧中亚研究,-99,南核,
上海海洋大学,港澳研究,-99,南核,
上海海洋大学,南亚研究季刊,-99,南核,
上海海洋大学,国际关系研究,-99,南核,
上海海洋大学,湖湘论坛,-99,南核,
上海海洋大学,新视野,-99,南核,
上海海洋大学,台湾研究集刊,1,南核,
上海海洋大学,印度洋经济体研究,-99,南核,
上海海洋大学,亚太安全与海洋研究,1,南核,
上海海洋大学,政治思想史,1,南核,
上海海洋大学,财经法学,-99,南核,
上海海洋大学,北方法学,-99,南核,
上海海洋大学,地方立法研究,-99,南核,
上海海洋大学,法律适用,-99,南核,
上海海洋大学,法学杂志,-99,南核,
上海海洋大学,法治研究,-99,南核,
上海海洋大学,甘肃政法大学学报,-99,南核,
上海海洋大学,国际法研究,1,南核,
上海海洋大学,河南财经政法大学学报,-99,南核,
上海海洋大学,交大法学,-99,南核,
上海海洋大学,河北法学,2,南核,
上海海洋大学,科技与法律,1,南核,
上海海洋大学,苏州大学学报(法学版),-99,南核,
上海海洋大学,知识产权,-99,南核,
上海海洋大学,南大法学,-99,南核,
上海海洋大学,中国海商法研究,-99,南核,
上海海洋大学,中国政法大学学报,-99,南核,
上海海洋大学,中国应用法学,-99,南核,
上海海洋大学,重庆高教研究,-99,南核,
上海海洋大学,比较教育学报,-99,南核,
上海海洋大学,基础教育,-99,南核,
上海海洋大学,高教探索,2,南核,
上海海洋大学,高教发展与评估,1,南核,
上海海洋大学,教育经济评论,-99,南核,
上海海洋大学,教育科学研究,-99,南核,
上海海洋大学,教育学术月刊,-99,南核,
上海海洋大学,苏州大学学报(教育科学版),-99,南核,
上海海洋大学,数学教育学报,1,南核,
上海海洋大学,天津师范大学学报(基础教育版),-99,南核,
上海海洋大学,现代教育管理,2,南核,
上海海洋大学,中国大学教学,3,南核,
上海海洋大学,中国教育科学,-99,南核,
上海海洋大学,中国考试,-99,南核,
上海海洋大学,中国人民大学教育学刊,-99,南核,
上海海洋大学,中国特殊教育,-99,南核,
上海海洋大学,心理学探新,-99,南核,
上海海洋大学,中小学管理,-99,南核,
上海海洋大学,心理研究,-99,南核,
上海海洋大学,首都体育学院学报,-99,南核,
上海海洋大学,天津体育学院学报,1,南核,
上海海洋大学,体育文化导刊,5,南核,
上海海洋大学,长江学术,-99,南核,
上海海洋大学,红楼梦学刊,-99,南核,
上海海洋大学,上海文化,1,南核,
上海海洋大学,鲁迅研究月刊,1,南核,
上海海洋大学,文艺评论,-99,南核,
上海海洋大学,文艺论坛,-99,南核,
上海海洋大学,东疆学刊,1,南核,
上海海洋大学,湖北民族大学学报(哲学社会科学版),-99,南核,
上海海洋大学,黑龙江民族丛刊,-99,南核,
上海海洋大学,北方民族大学学报(哲学社会科学版),-99,南核,
上海海洋大学,青海民族研究,-99,南核,
上海海洋大学,西北民族大学学报(哲学社会科学版),-99,南核,
上海海洋大学,回族研究,-99,南核,
上海海洋大学,青海民族大学学报(社会科学版),-99,南核,
上海海洋大学,西藏民族大学学报(哲学社会科学版),-99,南核,
上海海洋大学,西藏研究,-99,南核,
上海海洋大学,原生态民族文化学刊,-99,南核,
上海海洋大学,俄罗斯文艺,-99,南核,
上海海洋大学,当代外语研究,1,南核,
上海海洋大学,华文教学与研究,-99,南核,
上海海洋大学,解放军外国语学院学报,2,南核,
上海海洋大学,古汉语研究,1,南核,
上海海洋大学,西安外国语大学学报,4,南核,
上海海洋大学,外语研究,3,南核,
上海海洋大学,日语学习与研究,8,南核,
上海海洋大学,语言与翻译,-99,南核,
上海海洋大学,外语学刊,12,南核,
上海海洋大学,语言战略研究,-99,南核,
上海海洋大学,中国俄语教学,-99,南核,
上海海洋大学,编辑学刊,1,南核,
上海海洋大学,传媒观察,-99,南核,
上海海洋大学,传媒,1,南核,
上海海洋大学,出版广角,1,南核,
上海海洋大学,全球传媒学刊,-99,南核,
上海海洋大学,未来传播,-99,南核,
上海海洋大学,新闻爱好者,1,南核,
上海海洋大学,新闻春秋,-99,南核,
上海海洋大学,新闻与传播评论,-99,南核,
上海海洋大学,南方文物,-99,南核,
上海海洋大学,中国国家博物馆馆刊,-99,南核,
上海海洋大学,敦煌学辑刊,-99,南核,
上海海洋大学,华夏考古,-99,南核,
上海海洋大学,海交史研究,-99,南核,
上海海洋大学,历史教学,-99,南核,
上海海洋大学,国际汉学,-99,南核,
上海海洋大学,军事历史研究,-99,南核,
上海海洋大学,历史教学问题,-99,南核,
上海海洋大学,日本侵华南京大屠杀研究,-99,南核,
上海海洋大学,中国典籍与文化,-99,南核,
上海海洋大学,外国问题研究,-99,南核,
上海海洋大学,中国科技史杂志,-99,南核,
上海海洋大学,城市与环境研究,-99,南核,
上海海洋大学,调研世界,6,南核,
上海海洋大学,环境保护,3,南核,
上海海洋大学,中国环境管理,5,南核,
上海海洋大学,河南社会科学,1,南核,
上海海洋大学,重庆社会科学,1,南核,
上海海洋大学,广西社会科学,4,南核,
上海海洋大学,湖北社会科学,1,南核,
上海海洋大学,中国农业资源与区划,19,南核,
上海海洋大学,湖南社会科学,-99,南核,
上海海洋大学,兰州学刊,2,南核,
上海海洋大学,学术交流,1,南核,
上海海洋大学,理论月刊,1,南核,
上海海洋大学,社会科学家,1,南核,
上海海洋大学,天府新论,1,南核,
上海海洋大学,学术探索,3,南核,
上海海洋大学,中国社会科学院研究生院学报,-99,南核,
上海海洋大学,中国社会科学评价,-99,南核,
上海海洋大学,中国图书评论,1,南核,
上海海洋大学,规划师,-99,南核,
上海海洋大学,国际城市规划,-99,南核,
上海海洋大学,中国文化研究,3,南核,
上海海洋大学,地域研究与开发,3,南核,
上海海洋大学,世界地理研究,1,南核,
上海海洋大学,地方治理研究,-99,南核,
上海海洋大学,当代经济管理,1,南核,
上海海洋大学,财务研究,-99,南核,
上海海洋大学,公共管理评论,-99,南核,
上海海洋大学,管理案例研究与评论,-99,南核,
上海海洋大学,宏观经济管理,-99,南核,
上海海洋大学,系统管理学报,1,南核,
上海海洋大学,科学与社会,1,南核,
上海海洋大学,社会保障研究,-99,南核,
上海海洋大学,华东经济管理,8,南核,
上海海洋大学,科技管理研究,16,南核,
上海海洋大学,行政管理改革,1,南核,
上海海洋大学,智库理论与实践,-99,南核,
上海海洋大学,运筹与管理,5,南核,
上海海洋大学,中国科学基金,-99,南核,
上海海洋大学,数字图书馆论坛,-99,南核,
上海海洋大学,图书馆工作与研究,-99,南核,
上海海洋大学,图书馆,1,南核,
上海海洋大学,中国人力资源开发,1,南核,
上海海洋大学,新世纪图书馆,-99,南核,
上海海洋大学,图书馆理论与实践,2,南核,
上海海洋大学,当代电视,-99,南核,
上海海洋大学,美术观察,-99,南核,
上海海洋大学,民族艺术研究,-99,南核,
上海海洋大学,建筑遗产,-99,南核,
上海海洋大学,人民音乐,1,南核,
上海海洋大学,书法研究,-99,南核,
上海海洋大学,世界电影,-99,南核,
上海海洋大学,星海音乐学院学报,-99,南核,
上海海洋大学,艺术百家,1,南核,
上海海洋大学,艺术传播研究,-99,南核,
上海海洋大学,艺术探索,-99,南核,
上海海洋大学,音乐艺术(上海音乐学院学报),-99,南核,
上海海洋大学,中国电视,-99,南核,
上海海洋大学,北京交通大学学报(社会科学版),-99,南核,
上海海洋大学,中国广播电视学刊,-99,南核,
上海海洋大学,北京航空航天大学学报(社会科学版),1,南核,
上海海洋大学,湖南农业大学学报(社会科学版),-99,南核,
上海海洋大学,北京理工大学学报(社会科学版),2,南核,
上海海洋大学,华东理工大学学报(社会科学版),8,南核,
上海海洋大学,南京工业大学学报(社会科学版),1,南核,
上海海洋大学,中国人民公安大学学报(社会科学版),1,南核,
上海海洋大学,贵州师范大学学报(社会科学版),-99,南核,
上海海洋大学,广州大学学报(社会科学版),1,南核,
上海海洋大学,安徽师范大学学报(人文社会科学版),-99,南核,
上海海洋大学,哈尔滨工业大学学报(社会科学版),2,南核,
上海海洋大学,河北大学学报(哲学社会科学版),1,南核,
上海海洋大学,华侨大学学报(哲学社会科学版),-99,南核,
上海海洋大学,齐鲁学刊,-99,南核,
上海海洋大学,烟台大学学报(哲学社会科学版),-99,南核,
上海海洋大学,云南大学学报(社会科学版),1,南核,
上海海洋大学,中国矿业大学学报(社会科学版),-99,南核,
上海海洋大学,江苏大学学报(社会科学版),13,南核,
上海中医药大学,佛学研究,-99,南核,
上海中医药大学,科学与无神论,-99,南核,
上海中医药大学,中国穆斯林,-99,南核,
上海中医药大学,中国宗教,1,南核,
上海中医药大学,五台山研究,-99,南核,
上海中医药大学,孔学堂,-99,南核,
上海中医药大学,社会主义核心价值观研究,-99,南核,
上海中医药大学,系统科学学报,1,南核,
上海中医药大学,财政科学,-99,南核,
上海中医药大学,世界社会主义研究,-99,南核,
上海中医药大学,产经评论,-99,南核,
上海中医药大学,苏区研究,-99,南核,
上海中医药大学,学校党建与思想教育,7,南核,
上海中医药大学,产业经济评论,-99,南核,
上海中医药大学,当代经济研究,-99,南核,
上海中医药大学,地方财政研究,-99,南核,
上海中医药大学,哈尔滨商业大学学报(社会科学版),-99,南核,
上海中医药大学,国际税收,-99,南核,
上海中医药大学,河北经贸大学学报,-99,南核,
上海中医药大学,金融监管研究,-99,南核,
上海中医药大学,国际商务研究,-99,南核,
上海中医药大学,技术经济,-99,南核,
上海中医药大学,经济与管理,-99,南核,
上海中医药大学,经济与管理评论,-99,南核,
上海中医药大学,南方金融,-99,南核,
上海中医药大学,南京审计大学学报,-99,南核,
上海中医药大学,南京财经大学学报,-99,南核,
上海中医药大学,农业经济与管理,-99,南核,
上海中医药大学,上海金融,-99,南核,
上海中医药大学,农林经济管理学报,-99,南核,
上海中医药大学,世界农业,-99,南核,
上海中医药大学,首都经济贸易大学学报,-99,南核,
上海中医药大学,税务与经济,-99,南核,
上海中医药大学,西安财经大学学报,-99,南核,
上海中医药大学,投资研究,-99,南核,
上海中医药大学,西部论坛,-99,南核,
上海中医药大学,云南财经大学学报,-99,南核,
上海中医药大学,消费经济,-99,南核,
上海中医药大学,中国流通经济,-99,南核,
上海中医药大学,残疾人研究,-99,南核,
上海中医药大学,南方人口,-99,南核,
上海中医药大学,青年探索,-99,南核,
上海中医药大学,社会建设,-99,南核,
上海中医药大学,社会政策研究,-99,南核,
上海中医药大学,中国青年社会科学,-99,南核,
上海中医药大学,西北人口,-99,南核,
上海中医药大学,阿拉伯世界研究,2,南核,
上海中医药大学,当代青年研究,5,南核,
上海中医药大学,俄罗斯东欧中亚研究,-99,南核,
上海中医药大学,当代美国评论,-99,南核,
上海中医药大学,俄罗斯研究,-99,南核,
上海中医药大学,湖湘论坛,-99,南核,
上海中医药大学,国际关系研究,-99,南核,
上海中医药大学,港澳研究,-99,南核,
上海中医药大学,南亚研究季刊,-99,南核,
上海中医药大学,台湾研究集刊,-99,南核,
上海中医药大学,新视野,-99,南核,
上海中医药大学,亚太安全与海洋研究,-99,南核,
上海中医药大学,财经法学,-99,南核,
上海中医药大学,印度洋经济体研究,-99,南核,
上海中医药大学,政治思想史,-99,南核,
上海中医药大学,北方法学,-99,南核,
上海中医药大学,地方立法研究,-99,南核,
上海中医药大学,法律适用,-99,南核,
上海中医药大学,法学杂志,-99,南核,
上海中医药大学,法治研究,-99,南核,
上海中医药大学,河北法学,-99,南核,
上海中医药大学,国际法研究,-99,南核,
上海中医药大学,河南财经政法大学学报,-99,南核,
上海中医药大学,交大法学,-99,南核,
上海中医药大学,科技与法律,-99,南核,
上海中医药大学,甘肃政法大学学报,-99,南核,
上海中医药大学,苏州大学学报(法学版),-99,南核,
上海中医药大学,知识产权,-99,南核,
上海中医药大学,南大法学,-99,南核,
上海中医药大学,中国海商法研究,-99,南核,
上海中医药大学,中国应用法学,-99,南核,
上海中医药大学,比较教育学报,-99,南核,
上海中医药大学,中国政法大学学报,-99,南核,
上海中医药大学,重庆高教研究,-99,南核,
上海中医药大学,高教发展与评估,-99,南核,
上海中医药大学,高教探索,2,南核,
上海中医药大学,教育经济评论,-99,南核,
上海中医药大学,基础教育,-99,南核,
上海中医药大学,教育科学研究,-99,南核,
上海中医药大学,数学教育学报,-99,南核,
上海中医药大学,教育学术月刊,3,南核,
上海中医药大学,苏州大学学报(教育科学版),-99,南核,
上海中医药大学,天津师范大学学报(基础教育版),-99,南核,
上海中医药大学,现代教育管理,-99,南核,
上海中医药大学,中国大学教学,2,南核,
上海中医药大学,中国教育科学,-99,南核,
上海中医药大学,中国特殊教育,-99,南核,
上海中医药大学,中国考试,1,南核,
上海中医药大学,中国人民大学教育学刊,-99,南核,
上海中医药大学,中小学管理,-99,南核,
上海中医药大学,心理学探新,1,南核,
上海中医药大学,心理研究,1,南核,
上海中医药大学,体育文化导刊,-99,南核,
上海中医药大学,红楼梦学刊,-99,南核,
上海中医药大学,长江学术,-99,南核,
上海中医药大学,首都体育学院学报,4,南核,
上海中医药大学,天津体育学院学报,-99,南核,
上海中医药大学,鲁迅研究月刊,-99,南核,
上海中医药大学,上海文化,-99,南核,
上海中医药大学,文艺论坛,-99,南核,
上海中医药大学,文艺评论,-99,南核,
上海中医药大学,北方民族大学学报(哲学社会科学版),-99,南核,
上海中医药大学,东疆学刊,-99,南核,
上海中医药大学,黑龙江民族丛刊,-99,南核,
上海中医药大学,湖北民族大学学报(哲学社会科学版),-99,南核,
上海中医药大学,回族研究,-99,南核,
上海中医药大学,青海民族大学学报(社会科学版),-99,南核,
上海中医药大学,西北民族大学学报(哲学社会科学版),-99,南核,
上海中医药大学,青海民族研究,-99,南核,
上海中医药大学,原生态民族文化学刊,-99,南核,
上海中医药大学,西藏研究,-99,南核,
上海中医药大学,西藏民族大学学报(哲学社会科学版),-99,南核,
上海中医药大学,俄罗斯文艺,-99,南核,
上海中医药大学,古汉语研究,-99,南核,
上海中医药大学,当代外语研究,-99,南核,
上海中医药大学,华文教学与研究,-99,南核,
上海中医药大学,解放军外国语学院学报,-99,南核,
上海中医药大学,外语研究,-99,南核,
上海中医药大学,日语学习与研究,-99,南核,
上海中医药大学,外语学刊,-99,南核,
上海中医药大学,西安外国语大学学报,-99,南核,
上海中医药大学,语言战略研究,-99,南核,
上海中医药大学,语言与翻译,-99,南核,
上海中医药大学,编辑学刊,2,南核,
上海中医药大学,全球传媒学刊,-99,南核,
上海中医药大学,传媒观察,-99,南核,
上海中医药大学,传媒,2,南核,
上海中医药大学,出版广角,3,南核,
上海中医药大学,中国俄语教学,-99,南核,
上海中医药大学,未来传播,-99,南核,
上海中医药大学,新闻爱好者,-99,南核,
上海中医药大学,新闻春秋,-99,南核,
上海中医药大学,新闻与传播评论,-99,南核,
上海中医药大学,华夏考古,-99,南核,
上海中医药大学,敦煌学辑刊,-99,南核,
上海中医药大学,中国国家博物馆馆刊,-99,南核,
上海中医药大学,南方文物,-99,南核,
上海中医药大学,国际汉学,-99,南核,
上海中医药大学,海交史研究,-99,南核,
上海中医药大学,军事历史研究,-99,南核,
上海中医药大学,历史教学,1,南核,
上海中医药大学,日本侵华南京大屠杀研究,-99,南核,
上海中医药大学,外国问题研究,-99,南核,
上海中医药大学,历史教学问题,6,南核,
上海中医药大学,中国科技史杂志,2,南核,
上海中医药大学,中国典籍与文化,2,南核,
上海中医药大学,调研世界,1,南核,
上海中医药大学,城市与环境研究,-99,南核,
上海中医药大学,环境保护,-99,南核,
上海中医药大学,中国环境管理,-99,南核,
上海中医药大学,中国农业资源与区划,-99,南核,
上海中医药大学,重庆社会科学,1,南核,
上海中医药大学,广西社会科学,-99,南核,
上海中医药大学,河南社会科学,-99,南核,
上海中医药大学,湖北社会科学,1,南核,
上海中医药大学,湖南社会科学,-99,南核,
上海中医药大学,理论月刊,-99,南核,
上海中医药大学,兰州学刊,2,南核,
上海中医药大学,社会科学家,-99,南核,
上海中医药大学,天府新论,-99,南核,
上海中医药大学,学术探索,-99,南核,
上海中医药大学,学术交流,-99,南核,
上海中医药大学,中国社会科学评价,-99,南核,
上海中医药大学,中国社会科学院研究生院学报,-99,南核,
上海中医药大学,中国图书评论,-99,南核,
上海中医药大学,中国文化研究,-99,南核,
上海中医药大学,地域研究与开发,-99,南核,
上海中医药大学,规划师,-99,南核,
上海中医药大学,国际城市规划,-99,南核,
上海中医药大学,世界地理研究,-99,南核,
上海中医药大学,财务研究,-99,南核,
上海中医药大学,当代经济管理,-99,南核,
上海中医药大学,地方治理研究,-99,南核,
上海中医药大学,公共管理评论,-99,南核,
上海中医药大学,管理案例研究与评论,-99,南核,
上海中医药大学,宏观经济管理,-99,南核,
上海中医药大学,华东经济管理,1,南核,
上海中医药大学,科技管理研究,4,南核,
上海中医药大学,社会保障研究,-99,南核,
上海中医药大学,科学与社会,-99,南核,
上海中医药大学,系统管理学报,-99,南核,
上海中医药大学,行政管理改革,-99,南核,
上海中医药大学,智库理论与实践,-99,南核,
上海中医药大学,运筹与管理,-99,南核,
上海中医药大学,图书馆,1,南核,
上海中医药大学,数字图书馆论坛,2,南核,
上海中医药大学,图书馆工作与研究,-99,南核,
上海中医药大学,中国科学基金,5,南核,
上海中医药大学,图书馆理论与实践,2,南核,
上海中医药大学,中国人力资源开发,-99,南核,
上海中医药大学,新世纪图书馆,1,南核,
上海中医药大学,当代电视,-99,南核,
上海中医药大学,建筑遗产,-99,南核,
上海中医药大学,民族艺术研究,-99,南核,
上海中医药大学,人民音乐,-99,南核,
上海中医药大学,美术观察,-99,南核,
上海中医药大学,书法研究,-99,南核,
上海中医药大学,世界电影,-99,南核,
上海中医药大学,星海音乐学院学报,-99,南核,
上海中医药大学,艺术百家,-99,南核,
上海中医药大学,艺术探索,-99,南核,
上海中医药大学,音乐艺术(上海音乐学院学报),-99,南核,
上海中医药大学,中国广播电视学刊,-99,南核,
上海中医药大学,北京航空航天大学学报(社会科学版),-99,南核,
上海中医药大学,北京交通大学学报(社会科学版),-99,南核,
上海中医药大学,中国电视,-99,南核,
上海中医药大学,华东理工大学学报(社会科学版),2,南核,
上海中医药大学,湖南农业大学学报(社会科学版),-99,南核,
上海中医药大学,南京工业大学学报(社会科学版),-99,南核,
上海中医药大学,中国人民公安大学学报(社会科学版),-99,南核,
上海中医药大学,安徽师范大学学报(人文社会科学版),-99,南核,
上海中医药大学,艺术传播研究,-99,南核,
上海中医药大学,广州大学学报(社会科学版),-99,南核,
上海中医药大学,哈尔滨工业大学学报(社会科学版),-99,南核,
上海中医药大学,河北大学学报(哲学社会科学版),-99,南核,
上海中医药大学,华侨大学学报(哲学社会科学版),-99,南核,
上海中医药大学,江苏大学学报(社会科学版),-99,南核,
上海中医药大学,齐鲁学刊,-99,南核,
上海中医药大学,贵州师范大学学报(社会科学版),-99,南核,
上海中医药大学,云南大学学报(社会科学版),-99,南核,
上海中医药大学,北京理工大学学报(社会科学版),-99,南核,
华东师范大学,五台山研究,2,南核,
华东师范大学,科学与无神论,7,南核,
上海中医药大学,中国矿业大学学报(社会科学版),-99,南核,
华东师范大学,中国穆斯林,-99,南核,
华东师范大学,佛学研究,9,南核,
华东师范大学,中国宗教,35,南核,
华东师范大学,孔学堂,12,南核,
华东师范大学,系统科学学报,13,南核,
华东师范大学,社会主义核心价值观研究,3,南核,
华东师范大学,世界社会主义研究,3,南核,
华东师范大学,苏区研究,10,南核,
华东师范大学,财政科学,3,南核,
华东师范大学,地方财政研究,3,南核,
华东师范大学,产经评论,14,南核,
华东师范大学,当代经济研究,6,南核,
华东师范大学,国际商务研究,41,南核,
华东师范大学,产业经济评论,3,南核,
华东师范大学,哈尔滨商业大学学报(社会科学版),10,南核,
华东师范大学,河北经贸大学学报,12,南核,
华东师范大学,技术经济,12,南核,
华东师范大学,学校党建与思想教育,64,南核,
华东师范大学,金融监管研究,2,南核,
华东师范大学,经济与管理,20,南核,
华东师范大学,南方金融,11,南核,
华东师范大学,南京审计大学学报,7,南核,
华东师范大学,南京财经大学学报,7,南核,
华东师范大学,农林经济管理学报,10,南核,
华东师范大学,经济与管理评论,5,南核,
华东师范大学,国际税收,-99,南核,
华东师范大学,世界农业,7,南核,
华东师范大学,上海金融,122,南核,
华东师范大学,农业经济与管理,-99,南核,
华东师范大学,首都经济贸易大学学报,2,南核,
华东师范大学,西安财经大学学报,3,南核,
华东师范大学,税务与经济,4,南核,
华东师范大学,投资研究,15,南核,
华东师范大学,西部论坛,5,南核,
华东师范大学,云南财经大学学报,9,南核,
华东师范大学,中国流通经济,11,南核,
华东师范大学,当代青年研究,121,南核,
华东师范大学,南方人口,70,南核,
华东师范大学,消费经济,7,南核,
华东师范大学,青年探索,39,南核,
华东师范大学,社会建设,17,南核,
华东师范大学,社会政策研究,8,南核,
华东师范大学,残疾人研究,17,南核,
华东师范大学,中国青年社会科学,7,南核,
华东师范大学,阿拉伯世界研究,6,南核,
华东师范大学,当代美国评论,1,南核,
华东师范大学,西北人口,99,南核,
华东师范大学,港澳研究,-99,南核,
华东师范大学,俄罗斯东欧中亚研究,25,南核,
华东师范大学,俄罗斯研究,335,南核,
华东师范大学,国际关系研究,20,南核,
华东师范大学,南亚研究季刊,11,南核,
华东师范大学,湖湘论坛,21,南核,
上海中医药大学,烟台大学学报(哲学社会科学版),-99,南核,
华东师范大学,台湾研究集刊,8,南核,
华东师范大学,新视野,11,南核,
华东师范大学,亚太安全与海洋研究,5,南核,
华东师范大学,北方法学,3,南核,
华东师范大学,财经法学,2,南核,
华东师范大学,印度洋经济体研究,10,南核,
华东师范大学,政治思想史,36,南核,
华东师范大学,地方立法研究,10,南核,
华东师范大学,法学杂志,4,南核,
华东师范大学,法律适用,8,南核,
华东师范大学,法治研究,3,南核,
华东师范大学,甘肃政法大学学报,1,南核,
华东师范大学,国际法研究,-99,南核,
华东师范大学,河北法学,2,南核,
华东师范大学,河南财经政法大学学报,1,南核,
华东师范大学,科技与法律,1,南核,
华东师范大学,交大法学,9,南核,
华东师范大学,知识产权,1,南核,
华东师范大学,中国海商法研究,-99,南核,
华东师范大学,中国应用法学,4,南核,
华东师范大学,苏州大学学报(法学版),5,南核,
华东师范大学,中国政法大学学报,7,南核,
华东师范大学,南大法学,6,南核,
华东师范大学,比较教育学报,69,南核,
华东师范大学,高教探索,111,南核,
华东师范大学,基础教育,563,南核,
华东师范大学,高教发展与评估,53,南核,
华东师范大学,教育经济评论,15,南核,
华东师范大学,教育学术月刊,151,南核,
华东师范大学,教育科学研究,240,南核,
华东师范大学,数学教育学报,289,南核,
华东师范大学,重庆高教研究,30,南核,
华东师范大学,天津师范大学学报(基础教育版),47,南核,
华东师范大学,中国考试,75,南核,
华东师范大学,中国大学教学,28,南核,
华东师范大学,苏州大学学报(教育科学版),53,南核,
华东师范大学,中国教育科学,53,南核,
华东师范大学,中国人民大学教育学刊,30,南核,
华东师范大学,中小学管理,221,南核,
华东师范大学,心理学探新,65,南核,
华东师范大学,天津体育学院学报,113,南核,
华东师范大学,首都体育学院学报,67,南核,
华东师范大学,长江学术,14,南核,
华东师范大学,鲁迅研究月刊,31,南核,
华东师范大学,体育文化导刊,121,南核,
华东师范大学,文艺论坛,9,南核,
华东师范大学,上海文化,57,南核,
华东师范大学,心理研究,79,南核,
华东师范大学,红楼梦学刊,28,南核,
华东师范大学,文艺评论,44,南核,
华东师范大学,北方民族大学学报(哲学社会科学版),7,南核,
华东师范大学,东疆学刊,4,南核,
华东师范大学,黑龙江民族丛刊,-99,南核,
华东师范大学,湖北民族大学学报(哲学社会科学版),15,南核,
华东师范大学,青海民族研究,12,南核,
华东师范大学,西藏民族大学学报(哲学社会科学版),18,南核,
华东师范大学,俄罗斯文艺,16,南核,
华东师范大学,原生态民族文化学刊,16,南核,
华东师范大学,西北民族大学学报(哲学社会科学版),46,南核,
华东师范大学,西藏研究,7,南核,
华东师范大学,回族研究,6,南核,
华东师范大学,古汉语研究,30,南核,
华东师范大学,当代外语研究,32,南核,
华东师范大学,华文教学与研究,21,南核,
华东师范大学,解放军外国语学院学报,22,南核,
华东师范大学,日语学习与研究,16,南核,
华东师范大学,外语学刊,22,南核,
华东师范大学,外语研究,32,南核,
华东师范大学,语言与翻译,10,南核,
华东师范大学,语言战略研究,12,南核,
华东师范大学,西安外国语大学学报,25,南核,
华东师范大学,中国俄语教学,4,南核,
